,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Morocco,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,22.0,0.0,933.0,0.0,0.0,1.0,0.0,0.0,46.0,0.0,19.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,29.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,15.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,26.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
Togo,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,60.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,0.0,0.0,0.0,35.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,1.0,64.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,21.0,0.0,1.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,3.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,6.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,4.0,2.0
Singapore,0.0,0.0,0.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,2.0,0.0,53.0,0.0,611.0,0.0,0.0,138.0,0.0,29.0,2.0,0.0,11.0,0.0,56.0,0.0,0.0,14.0,0.0,15.0,0.0,0.0,0.0,0.0,24.0,7.0,0.0,0.0,0.0,0.0,2.0,2.0,22.0,7.0,1.0,1.0,0.0,0.0,0.0,85.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,8.0,0.0,98.0,1.0,1.0,0.0,0.0,1.0,23.0,1.0,0.0,4.0,45.0,5.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,50.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,27.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,14.0
Gabon,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0
Chad,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0,75.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,2.0,0.0,0.0,8.0,0.0
Hong Kong,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0,271.0,0.0,0.0,40.0,0.0,4.0,0.0,0.0,13.0,0.0,19.0,5.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,20.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,4.0,30.0,0.0,0.0,4.0,102.0,2.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,16.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,49.0,2.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,1.0,1.0,0.0,2.0,5.0
Poland,0.0,0.0,0.0,86.0,5.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,400.0,0.0,2.0,5.0,2.0,1.0,80.0,0.0,7.0,1.0,6.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,27.0,4.0,3.0,3.0,1.0,1.0,0.0,1.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,4.0,1.0,0.0,29.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,4.0,9.0,1.0,7.0,0.0,5.0,0.0,3.0,2.0,3.0,14.0,95.0,0.0,0.0,0.0,0.0,21.0,0.0,3.0,0.0,0.0,4.0,1.0,7.0,2.0,0.0,5.0,0.0,0.0,167.0,0.0,14.0,2.0,0.0,0.0,0.0,2.0,3.0
Ghana,0.0,0.0,0.0,61.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,6.0,1.0,9.0,0.0,137.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,43.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,7.0,2.0,5.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,8.0,4.0,0.0,0.0,0.0,7.0,0.0,13.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,9.0,17.0,1.0,1.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,1.0,4.0,0.0,5.0,1.0,0.0,0.0,5.0,1.0,1.0,18.0,0.0,0.0,2.0,5.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,25.0,7.0,1.0,0.0,1.0,57.0,2.0
Iceland,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,126.0,0.0,0.0,2.0,4.0,3.0,1.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,14.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0
Northern Mariana Islands,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,173.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
Switzerland,0.0,0.0,0.0,58.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,3.0,9.0,4.0,0.0,38.0,0.0,1034.0,0.0,0.0,69.0,1.0,23.0,17.0,0.0,108.0,1.0,19.0,0.0,0.0,3.0,2.0,24.0,0.0,0.0,2.0,0.0,14.0,7.0,0.0,3.0,8.0,4.0,0.0,3.0,38.0,69.0,7.0,21.0,10.0,0.0,0.0,127.0,0.0,0.0,0.0,3.0,0.0,4.0,3.0,1.0,0.0,5.0,0.0,13.0,57.0,18.0,123.0,15.0,0.0,1.0,0.0,5.0,1.0,5.0,2.0,1.0,13.0,10.0,0.0,5.0,17.0,0.0,0.0,8.0,15.0,12.0,15.0,20.0,1.0,1.0,6.0,0.0,3.0,1.0,13.0,0.0,35.0,11.0,2.0,1.0,5.0,0.0,1.0,1.0,0.0,12.0,0.0,6.0,3.0,0.0,1.0,0.0,10.0,24.0
Dominica,0.0,0.0,0.0,2.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,337.0,0.0,0.0,0.0,0.0,30.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,13.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0
Madagascar,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0
Dominican Republic,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,297.0,0.0,0.0,0.0,2.0,12.0,2.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,10.0,7.0,1.0,0.0,0.0,5.0,0.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,7.0
Bahrain,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,135.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,18.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Côte d'Ivoire,0.0,0.0,0.0,104.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,0.0,190.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,797.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,14.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,77.0,116.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,10.0,3.0,0.0,0.0,0.0,9.0,14.0
Senegal,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,3.0,6.0,0.0,167.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,40.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,10.0,4.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,34.0,15.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,8.0,7.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,3.0,0.0,5.0,8.0
United Arab Emirates,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,413.0,0.0,0.0,25.0,1.0,0.0,7.0,8.0,2.0,0.0,80.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,0.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,3.0,1.0,21.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0
Burkina Faso,0.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,11.0,0.0,8.0,0.0,62.0,0.0,0.0,5.0,0.0,7.0,1.0,1.0,44.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,3.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0
Czechia,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,11.0,0.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
Sierra Leone,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,3.0,7.0,1.0,0.0,32.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,553.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,18.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0
Cambodia,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,139.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,64.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,36.0,17.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,24.0,2.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,13.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
Croatia,0.0,0.0,0.0,21.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,431.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,44.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,2.0
Macao,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liberia,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,154.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,3.0
Malawi,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,1.0,107.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,13.0,0.0,10.0,5.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,16.0,0.0,21.0,0.0,0.0,0.0,0.0,2.0,2.0
Chile,0.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,6.0,0.0,17.0,0.0,817.0,0.0,0.0,4.0,3.0,1.0,2.0,0.0,13.0,3.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,15.0,41.0,6.0,0.0,4.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,24.0,3.0,0.0,1.0,1.0,0.0,3.0,6.0,1.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,8.0,0.0,5.0,8.0,10.0,3.0,0.0,0.0,0.0,1.0,9.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,2.0,16.0,5.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,7.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,7.0
