,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Belgium,0.0,0.0,1.0,88.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,8.0,2.0,4.0,1.0,59.0,0.0,2448.0,0.0,1.0,14.0,14.0,9.0,4.0,0.0,137.0,0.0,13.0,1.0,0.0,3.0,0.0,49.0,0.0,0.0,1.0,0.0,24.0,5.0,1.0,4.0,0.0,0.0,0.0,1.0,44.0,24.0,0.0,22.0,14.0,1.0,0.0,190.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,9.0,0.0,44.0,16.0,8.0,100.0,2.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0,6.0,16.0,12.0,2.0,10.0,19.0,0.0,0.0,5.0,25.0,29.0,14.0,30.0,0.0,0.0,4.0,1.0,1.0,2.0,7.0,0.0,22.0,6.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,24.0,0.0,8.0,2.0,0.0,8.0,0.0,34.0,30.0
Syrian Arab Republic,0.0,0.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,20.0,0.0,12.0,0.0,402.0,0.0,0.0,0.0,1.0,3.0,102.0,0.0,22.0,0.0,10.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,4.0,0.0,2.0,0.0,9.0,6.0,9.0,0.0,2.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,5.0,0.0,0.0,1.0,11.0,5.0
Barbados,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,75.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
Hungary,0.0,0.0,1.0,138.0,3.0,5.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,11.0,0.0,15.0,0.0,924.0,0.0,0.0,11.0,7.0,1.0,22.0,0.0,72.0,0.0,13.0,0.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,3.0,4.0,0.0,13.0,26.0,6.0,0.0,23.0,2.0,1.0,0.0,147.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,1.0,0.0,8.0,0.0,28.0,6.0,0.0,38.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,16.0,1.0,7.0,1.0,6.0,1.0,2.0,0.0,0.0,1.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,16.0,2.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,37.0,0.0,6.0,1.0,0.0,15.0,1.0,7.0,25.0
Sweden,0.0,0.0,1.0,230.0,0.0,4.0,1.0,0.0,10.0,1.0,6.0,1.0,16.0,22.0,1.0,45.0,0.0,1357.0,0.0,0.0,26.0,9.0,1.0,10.0,0.0,94.0,0.0,24.0,0.0,0.0,6.0,0.0,29.0,0.0,0.0,1.0,0.0,6.0,7.0,2.0,2.0,11.0,0.0,0.0,8.0,14.0,17.0,2.0,53.0,4.0,0.0,0.0,176.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,1.0,0.0,19.0,0.0,40.0,13.0,0.0,67.0,8.0,1.0,0.0,0.0,17.0,2.0,1.0,4.0,15.0,10.0,19.0,1.0,13.0,30.0,2.0,1.0,10.0,10.0,24.0,19.0,62.0,0.0,0.0,1.0,0.0,6.0,9.0,12.0,0.0,22.0,13.0,2.0,0.0,8.0,0.0,11.0,0.0,0.0,33.0,5.0,12.0,1.0,0.0,0.0,0.0,14.0,23.0
Haiti,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,35.0,0.0,2.0,0.0,95.0,0.0,0.0,0.0,0.0,1.0,82.0,0.0,25.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,5.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,6.0
Jersey,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,127.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,9.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Mali,0.0,0.0,0.0,83.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,8.0,0.0,12.0,0.0,417.0,0.0,0.0,2.0,2.0,4.0,30.0,10.0,117.0,0.0,8.0,1.0,0.0,2.0,0.0,8.0,0.0,0.0,9.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,7.0,0.0,0.0,0.0,60.0,0.0,0.0,2.0,0.0,12.0,8.0,0.0,0.0,1.0,8.0,0.0,5.0,116.0,0.0,57.0,2.0,0.0,0.0,0.0,2.0,5.0,4.0,0.0,0.0,14.0,19.0,0.0,1.0,2.0,1.0,1.0,1.0,6.0,6.0,4.0,4.0,1.0,0.0,4.0,0.0,0.0,7.0,8.0,0.0,5.0,3.0,1.0,9.0,0.0,5.0,0.0,0.0,0.0,41.0,0.0,6.0,6.0,18.0,1.0,0.0,2.0,3.0
"Korea, Republic of",0.0,0.0,0.0,122.0,0.0,5.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,26.0,0.0,722.0,0.0,0.0,35.0,2.0,3.0,3.0,1.0,28.0,0.0,37.0,2.0,0.0,1.0,0.0,17.0,0.0,0.0,3.0,0.0,4.0,4.0,0.0,2.0,3.0,4.0,0.0,5.0,14.0,7.0,0.0,7.0,2.0,3.0,0.0,102.0,1.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,54.0,1.0,1.0,17.0,2.0,3.0,0.0,1.0,4.0,14.0,1.0,1.0,4.0,12.0,3.0,1.0,1.0,6.0,1.0,0.0,2.0,1.0,14.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0,21.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,13.0,0.0,6.0,1.0,0.0,45.0,0.0,0.0,3.0
Hong Kong,0.0,0.0,0.0,147.0,0.0,10.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,4.0,0.0,87.0,0.0,510.0,0.0,0.0,104.0,0.0,5.0,1.0,1.0,57.0,0.0,37.0,5.0,0.0,3.0,0.0,11.0,0.0,0.0,1.0,3.0,22.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,34.0,19.0,2.0,30.0,1.0,0.0,0.0,208.0,2.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,48.0,1.0,4.0,55.0,0.0,0.0,0.0,0.0,7.0,41.0,0.0,0.0,2.0,189.0,9.0,0.0,2.0,6.0,0.0,0.0,7.0,15.0,97.0,2.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,110.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,20.0,0.0,0.0,0.0,7.0,16.0
Afghanistan,0.0,0.0,0.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,369.0,0.0,0.0,3.0,0.0,4.0,40.0,1.0,25.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,51.0,7.0,0.0,2.0,2.0,0.0,0.0,3.0,6.0,2.0,0.0,3.0,2.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,3.0,13.0,0.0,67.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,283.0,2.0,3.0,2.0,1.0,0.0,5.0,4.0,4.0,14.0,16.0,0.0,1.0,3.0,0.0,0.0,0.0,13.0,0.0,12.0,6.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,15.0,5.0,4.0,1.0,0.0,3.0,3.0
Ireland,0.0,0.0,0.0,17.0,1.0,14.0,1.0,1.0,17.0,1.0,0.0,15.0,15.0,1.0,4.0,54.0,0.0,2172.0,0.0,16.0,30.0,20.0,3.0,5.0,0.0,72.0,13.0,26.0,10.0,0.0,0.0,0.0,62.0,1.0,0.0,4.0,0.0,55.0,16.0,13.0,31.0,14.0,0.0,0.0,39.0,34.0,44.0,10.0,45.0,8.0,0.0,0.0,180.0,0.0,0.0,0.0,6.0,0.0,22.0,3.0,1.0,1.0,6.0,13.0,29.0,15.0,1.0,74.0,13.0,0.0,0.0,0.0,0.0,7.0,6.0,3.0,15.0,8.0,26.0,0.0,5.0,27.0,1.0,0.0,26.0,4.0,24.0,37.0,87.0,1.0,4.0,1.0,2.0,13.0,0.0,13.0,0.0,59.0,19.0,18.0,7.0,24.0,0.0,14.0,14.0,0.0,29.0,0.0,44.0,5.0,0.0,2.0,0.0,23.0,42.0
Tunisia,0.0,0.0,0.0,10.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,454.0,0.0,0.0,3.0,0.0,0.0,58.0,0.0,10.0,0.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
Nepal,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,219.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,12.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,9.0,0.0,10.0,0.0,0.0,0.0,5.0
Iceland,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,208.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,5.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,48.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
"Palestine, State of",0.0,0.0,0.0,23.0,1.0,2.0,8.0,1.0,18.0,1.0,14.0,2.0,1.0,12.0,0.0,103.0,0.0,2462.0,1.0,0.0,12.0,9.0,14.0,423.0,0.0,96.0,1.0,85.0,2.0,0.0,2.0,2.0,24.0,0.0,0.0,3.0,0.0,24.0,4.0,0.0,3.0,1.0,4.0,0.0,14.0,30.0,21.0,1.0,24.0,14.0,0.0,0.0,282.0,0.0,1.0,0.0,1.0,0.0,52.0,2.0,1.0,0.0,5.0,1.0,44.0,30.0,2.0,258.0,1.0,2.0,0.0,0.0,1.0,23.0,2.0,8.0,5.0,28.0,40.0,0.0,8.0,11.0,0.0,0.0,7.0,118.0,38.0,13.0,16.0,0.0,0.0,4.0,0.0,3.0,2.0,30.0,0.0,43.0,17.0,1.0,11.0,2.0,0.0,1.0,0.0,0.0,52.0,0.0,27.0,4.0,0.0,4.0,1.0,23.0,28.0
Cuba,0.0,0.0,0.0,2.0,0.0,4.0,6.0,0.0,0.0,2.0,0.0,20.0,0.0,20.0,0.0,7.0,0.0,1057.0,1.0,1.0,3.0,1.0,49.0,10.0,0.0,113.0,0.0,7.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,8.0,5.0,1.0,0.0,38.0,0.0,0.0,2.0,127.0,45.0,0.0,11.0,2.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,19.0,0.0,30.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,5.0,22.0,0.0,9.0,2.0,0.0,0.0,3.0,1.0,26.0,15.0,1.0,0.0,17.0,0.0,0.0,1.0,2.0,10.0,0.0,25.0,11.0,2.0,26.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,20.0,2.0,0.0,2.0,0.0,33.0,76.0
United Arab Emirates,0.0,0.0,0.0,11.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,23.0,1.0,457.0,0.0,0.0,29.0,3.0,0.0,27.0,10.0,7.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,24.0,6.0,0.0,3.0,1.0,0.0,0.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,7.0,23.0,1.0,21.0,0.0,1.0,0.0,0.0,1.0,10.0,7.0,0.0,8.0,2.0,20.0,0.0,6.0,3.0,0.0,0.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,8.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,9.0,1.0,0.0,0.0,3.0,2.0
Saudi Arabia,0.0,0.0,0.0,33.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,1.0,0.0,77.0,4.0,17.0,0.0,998.0,0.0,0.0,6.0,0.0,5.0,219.0,0.0,62.0,0.0,285.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,0.0,59.0,3.0,0.0,3.0,4.0,0.0,0.0,5.0,8.0,4.0,0.0,3.0,3.0,0.0,0.0,23.0,3.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,182.0,53.0,2.0,57.0,9.0,2.0,1.0,0.0,0.0,14.0,1.0,0.0,4.0,4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,27.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,16.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,6.0,5.0,0.0,0.0,0.0,7.0,8.0
Slovenia,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,535.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,10.0,1.0,3.0,0.0,40.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Qatar,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,0.0,459.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,4.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,3.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,14.0,1.0,4.0,0.0,1.0,0.0,18.0,0.0,0.0,2.0,6.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,19.0,0.0,0.0,1.0,2.0,4.0
Mongolia,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,79.0,0.0,0.0,10.0,0.0,3.0,4.0,0.0,6.0,1.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,10.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0
Belarus,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,24.0,0.0,742.0,1.0,0.0,2.0,1.0,0.0,3.0,0.0,14.0,0.0,1.0,3.0,1.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0,10.0,2.0,0.0,0.0,143.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0,6.0,1.0,0.0,35.0,4.0,1.0,0.0,0.0,9.0,0.0,0.0,2.0,2.0,32.0,6.0,0.0,31.0,0.0,0.0,0.0,8.0,3.0,16.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,71.0,6.0,4.0,1.0,0.0,2.0,0.0,5.0,3.0
Macao,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,0.0,0.0,0.0,66.0,6.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,472.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,3.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,2.0,0.0,25.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Senegal,0.0,0.0,0.0,142.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,148.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,101.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,2.0,41.0,0.0,14.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,1.0,0.0,0.0,0.0,63.0,2.0
Dominican Republic,0.0,0.0,0.0,3.0,0.0,2.0,8.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,4.0,0.0,540.0,0.0,1.0,1.0,0.0,9.0,67.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,32.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,24.0,5.0,0.0,6.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,0.0,4.0,0.0,0.0,0.0,16.0,0.0,29.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,14.0,13.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,3.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,4.0
Luxembourg,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,49.0,0.0,663.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,5.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,19.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
