,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Finland,0.0,3.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,6.0,0.0,258.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,1.0,7.0,1.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,10.0,1.0,26.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,2.0,9.0,0.0,6.0,0.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0
Kazakhstan,0.0,8.0,0.0,6.0,1.0,2.0,9.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,165.0,0.0,0.0,13.0,3.0,3.0,3.0,2.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0,9.0,2.0,2.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,1.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,4.0,0.0,5.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,15.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0
South Sudan,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,0.0,41.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,11.0,0.0,0.0,5.0,0.0
Kuwait,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,3.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
Turkey,0.0,14.0,1.0,31.0,1.0,0.0,4.0,0.0,7.0,1.0,8.0,4.0,3.0,27.0,0.0,78.0,8.0,1540.0,0.0,0.0,65.0,13.0,15.0,40.0,3.0,52.0,9.0,23.0,3.0,0.0,9.0,0.0,59.0,0.0,0.0,1.0,1.0,164.0,35.0,0.0,2.0,1.0,0.0,1.0,22.0,82.0,24.0,8.0,29.0,1.0,0.0,0.0,167.0,0.0,1.0,0.0,1.0,4.0,10.0,1.0,0.0,0.0,4.0,0.0,31.0,39.0,1.0,165.0,4.0,8.0,0.0,2.0,20.0,7.0,1.0,14.0,4.0,42.0,42.0,1.0,23.0,260.0,1.0,0.0,10.0,3.0,40.0,26.0,30.0,2.0,16.0,0.0,0.0,2.0,13.0,43.0,0.0,18.0,2.0,1.0,10.0,3.0,1.0,1.0,0.0,0.0,75.0,0.0,12.0,25.0,1.0,60.0,8.0,42.0,105.0
Syrian Arab Republic,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,0.0,11.0,0.0,216.0,0.0,0.0,0.0,0.0,1.0,120.0,0.0,7.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,8.0,6.0,0.0,3.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,13.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,4.0
Netherlands,0.0,3.0,1.0,292.0,1.0,15.0,0.0,0.0,4.0,0.0,2.0,3.0,5.0,1.0,3.0,25.0,0.0,997.0,0.0,0.0,47.0,9.0,7.0,3.0,1.0,31.0,1.0,12.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,2.0,0.0,5.0,15.0,3.0,4.0,5.0,1.0,0.0,4.0,36.0,15.0,0.0,11.0,3.0,0.0,0.0,65.0,0.0,0.0,0.0,7.0,1.0,3.0,0.0,0.0,0.0,19.0,0.0,8.0,31.0,0.0,57.0,16.0,7.0,0.0,0.0,12.0,9.0,3.0,8.0,8.0,21.0,21.0,15.0,11.0,82.0,1.0,0.0,25.0,2.0,27.0,9.0,27.0,0.0,1.0,1.0,0.0,4.0,6.0,11.0,0.0,16.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,26.0,0.0,10.0,7.0,2.0,4.0,0.0,8.0,36.0
Nepal,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,5.0,0.0,2.0,0.0,123.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.0,0.0,1.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,12.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,9.0,18.0,13.0,0.0,0.0,4.0,5.0
Australia,0.0,19.0,3.0,31.0,2.0,7.0,3.0,3.0,11.0,2.0,12.0,5.0,79.0,2.0,4.0,73.0,0.0,1039.0,0.0,0.0,46.0,17.0,31.0,8.0,0.0,139.0,1.0,45.0,3.0,0.0,2.0,15.0,45.0,1.0,0.0,4.0,6.0,78.0,14.0,0.0,18.0,6.0,1.0,60.0,19.0,59.0,59.0,0.0,58.0,17.0,21.0,0.0,529.0,0.0,0.0,1.0,19.0,1.0,24.0,50.0,0.0,1.0,4.0,0.0,75.0,37.0,2.0,135.0,38.0,4.0,0.0,1.0,7.0,4.0,25.0,4.0,30.0,18.0,34.0,3.0,9.0,55.0,3.0,0.0,21.0,12.0,34.0,55.0,20.0,5.0,18.0,7.0,0.0,10.0,4.0,23.0,11.0,116.0,39.0,28.0,28.0,12.0,1.0,3.0,3.0,0.0,54.0,0.0,30.0,25.0,0.0,4.0,0.0,20.0,50.0
Sweden,0.0,3.0,2.0,35.0,0.0,4.0,1.0,0.0,14.0,1.0,4.0,2.0,22.0,7.0,1.0,14.0,2.0,575.0,0.0,0.0,18.0,6.0,3.0,13.0,0.0,31.0,1.0,18.0,0.0,0.0,9.0,0.0,42.0,0.0,0.0,1.0,0.0,6.0,3.0,4.0,1.0,7.0,3.0,0.0,9.0,10.0,27.0,1.0,19.0,2.0,0.0,0.0,75.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,23.0,0.0,10.0,11.0,1.0,28.0,2.0,1.0,0.0,0.0,8.0,10.0,0.0,0.0,5.0,11.0,24.0,2.0,8.0,49.0,2.0,1.0,11.0,8.0,4.0,7.0,33.0,0.0,0.0,1.0,1.0,4.0,1.0,8.0,0.0,18.0,33.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,21.0,4.0,3.0,0.0,0.0,0.0,0.0,7.0,16.0
Somalia,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,0.0,92.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,15.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,19.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,0.0,1.0,8.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,26.0,1.0,5.0,0.0,1646.0,0.0,1.0,14.0,0.0,58.0,11.0,0.0,75.0,5.0,2.0,1.0,0.0,0.0,5.0,1.0,3.0,0.0,5.0,0.0,17.0,4.0,0.0,0.0,22.0,0.0,0.0,3.0,52.0,31.0,0.0,12.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,5.0,11.0,1.0,26.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,9.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,15.0,1.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,11.0,0.0,19.0,1.0,0.0,16.0,6.0,0.0,6.0,0.0,0.0,6.0,0.0,15.0,2.0,0.0,0.0,0.0,23.0,27.0
Lebanon,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,417.0,0.0,0.0,1.0,0.0,0.0,212.0,0.0,3.0,0.0,59.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,68.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,9.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
Bhutan,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,0.0,1.0,0.0,27.0,0.0,1.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,65.0,4.0,5.0,0.0,697.0,0.0,0.0,5.0,0.0,6.0,141.0,0.0,55.0,0.0,148.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,61.0,2.0,0.0,4.0,1.0,3.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,110.0,50.0,1.0,15.0,3.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,6.0,1.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,17.0,26.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,1.0,16.0,1.0,0.0,0.0,1.0,4.0
"Korea, Republic of",0.0,8.0,0.0,37.0,2.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,21.0,0.0,656.0,1.0,0.0,21.0,0.0,2.0,2.0,0.0,5.0,0.0,19.0,2.0,0.0,0.0,1.0,16.0,0.0,0.0,2.0,1.0,12.0,5.0,0.0,2.0,3.0,6.0,0.0,8.0,13.0,11.0,1.0,2.0,0.0,1.0,0.0,35.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,30.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,4.0,5.0,3.0,0.0,5.0,1.0,0.0,2.0,0.0,2.0,4.0,7.0,0.0,0.0,3.0,0.0,3.0,0.0,4.0,0.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,56.0,0.0,0.0,172.0,0.0,3.0,7.0
Afghanistan,0.0,5.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,9.0,0.0,26.0,1.0,1068.0,0.0,0.0,12.0,0.0,14.0,157.0,0.0,84.0,0.0,14.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,55.0,5.0,0.0,2.0,2.0,1.0,0.0,18.0,21.0,9.0,0.0,3.0,2.0,2.0,0.0,28.0,2.0,0.0,0.0,3.0,22.0,6.0,2.0,0.0,0.0,1.0,0.0,6.0,39.0,5.0,446.0,6.0,0.0,0.0,1.0,0.0,12.0,3.0,3.0,2.0,6.0,303.0,5.0,14.0,9.0,0.0,0.0,6.0,23.0,5.0,16.0,14.0,0.0,1.0,1.0,0.0,8.0,2.0,21.0,0.0,22.0,17.0,0.0,12.0,2.0,0.0,1.0,0.0,0.0,39.0,0.0,12.0,9.0,5.0,1.0,0.0,4.0,3.0
Belarus,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,509.0,1.0,1.0,3.0,3.0,0.0,3.0,0.0,6.0,1.0,1.0,1.0,0.0,1.0,0.0,34.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,3.0,3.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,27.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,16.0,4.0,0.0,38.0,3.0,0.0,0.0,6.0,1.0,3.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.0,7.0,3.0,5.0,0.0,3.0,0.0,5.0,5.0
Mongolia,0.0,3.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,79.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,92.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0
Svalbard and Jan Mayen,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,103.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,40.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,1.0,94.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Guam,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,48.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Jersey,0.0,3.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,239.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,11.0,0.0,6.0,8.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,11.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,4.0,1.0,0.0,0.0,30.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,4.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
Pakistan,0.0,1.0,0.0,7.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,5.0,0.0,19.0,0.0,35.0,11.0,669.0,0.0,0.0,10.0,1.0,230.0,18.0,0.0,85.0,0.0,19.0,3.0,0.0,3.0,0.0,14.0,1.0,0.0,1.0,0.0,22.0,1.0,0.0,0.0,10.0,5.0,0.0,23.0,53.0,61.0,4.0,6.0,4.0,2.0,0.0,53.0,0.0,0.0,0.0,1.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,1.0,71.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,427.0,0.0,27.0,5.0,1.0,0.0,2.0,20.0,9.0,6.0,7.0,0.0,0.0,0.0,0.0,4.0,5.0,18.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,69.0,28.0,4.0,1.0,0.0,5.0,12.0
Zimbabwe,0.0,3.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,32.0,1.0,7.0,0.0,215.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,1.0,25.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,7.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,18.0,13.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,5.0,5.0,5.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,13.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,5.0
Azerbaijan,0.0,2.0,0.0,20.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,6.0,0.0,460.0,0.0,0.0,12.0,2.0,0.0,4.0,0.0,17.0,0.0,6.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,5.0,4.0,0.0,3.0,0.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,6.0,0.0,0.0,6.0,3.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0
Eritrea,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,3.0,0.0,38.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0
Viet Nam,0.0,2.0,1.0,52.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0,14.0,0.0,1.0,0.0,39.0,0.0,1451.0,0.0,0.0,28.0,2.0,21.0,0.0,4.0,19.0,0.0,18.0,0.0,0.0,0.0,1.0,10.0,0.0,2.0,0.0,0.0,10.0,7.0,0.0,2.0,5.0,0.0,0.0,2.0,26.0,95.0,3.0,7.0,3.0,0.0,0.0,35.0,0.0,0.0,0.0,4.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,33.0,13.0,0.0,13.0,1.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,7.0,553.0,1.0,0.0,2.0,2.0,1.0,0.0,4.0,0.0,20.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,30.0
