,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Cabo Verde,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,6.0
"Venezuela, Bolivarian Republic of",1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,9.0,5.0,9.0,1.0,7.0,0.0,20.0,0.0,2.0,0.0,0.0,28.0,0.0,37.0,236.0,0.0,44.0,0.0,35.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,5.0,6.0,1.0,0.0,1.0,1.0,0.0,39.0,79.0,18.0,0.0,2.0,3.0,3.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,188.0,0.0,397.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,65.0,0.0,5.0,0.0,0.0,0.0,34.0,23.0,1.0,55.0,3.0,0.0,11.0,2.0,0.0,3.0,1.0,4.0,0.0,6.0,4.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,50.0,0.0,22.0,9.0,0.0,0.0,0.0,24.0,46.0
Switzerland,2.0,0.0,0.0,4.0,4.0,7.0,3.0,0.0,3.0,11.0,2.0,13.0,35.0,15.0,0.0,114.0,0.0,8.0,0.0,0.0,109.0,7.0,2.0,20.0,0.0,403.0,5.0,27.0,2.0,0.0,4.0,0.0,33.0,0.0,0.0,0.0,0.0,35.0,12.0,0.0,31.0,6.0,1.0,0.0,36.0,42.0,55.0,6.0,13.0,3.0,0.0,0.0,95.0,0.0,0.0,1.0,0.0,5.0,9.0,1.0,0.0,0.0,29.0,0.0,5.0,72.0,4.0,270.0,1.0,0.0,0.0,0.0,0.0,15.0,1.0,3.0,8.0,13.0,22.0,10.0,5.0,6.0,4.0,0.0,9.0,25.0,1.0,40.0,17.0,0.0,1.0,4.0,0.0,3.0,11.0,5.0,0.0,48.0,28.0,3.0,5.0,2.0,0.0,0.0,30.0,17.0,86.0,1.0,12.0,8.0,1.0,3.0,0.0,5.0,32.0
Brazil,3.0,0.0,1.0,15.0,4.0,41.0,98.0,1.0,2.0,94.0,47.0,484.0,13.0,21.0,6.0,51.0,0.0,4.0,2.0,0.0,32.0,56.0,986.0,21.0,0.0,116.0,5.0,59.0,14.0,0.0,1.0,12.0,151.0,0.0,0.0,9.0,1.0,93.0,2.0,5.0,7.0,67.0,8.0,0.0,49.0,329.0,222.0,3.0,66.0,8.0,4.0,0.0,804.0,7.0,0.0,0.0,1.0,65.0,261.0,25.0,1.0,0.0,3.0,0.0,11.0,251.0,0.0,1219.0,176.0,26.0,1.0,0.0,4.0,28.0,6.0,6.0,23.0,40.0,78.0,1.0,144.0,4.0,21.0,0.0,60.0,286.0,19.0,184.0,110.0,4.0,9.0,45.0,0.0,3.0,42.0,16.0,0.0,655.0,68.0,24.0,37.0,54.0,1.0,1.0,3.0,1.0,195.0,2.0,41.0,74.0,3.0,29.0,0.0,420.0,1337.0
Ethiopia,1.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,34.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,42.0,0.0,13.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,3.0,43.0,0.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,18.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,4.0,11.0,0.0,1.0,0.0,23.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0
Peru,6.0,3.0,0.0,19.0,1.0,6.0,7.0,0.0,3.0,3.0,21.0,10.0,3.0,4.0,1.0,10.0,0.0,1.0,0.0,0.0,2.0,5.0,47.0,3.0,0.0,10.0,0.0,2.0,0.0,0.0,2.0,2.0,20.0,2.0,0.0,1.0,0.0,23.0,0.0,0.0,2.0,3.0,5.0,0.0,15.0,30.0,8.0,0.0,12.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,1.0,0.0,0.0,0.0,1.0,22.0,0.0,106.0,2.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,21.0,59.0,0.0,32.0,0.0,2.0,0.0,7.0,22.0,0.0,19.0,7.0,0.0,3.0,1.0,0.0,2.0,0.0,6.0,0.0,3.0,8.0,1.0,3.0,1.0,0.0,1.0,3.0,0.0,33.0,1.0,5.0,2.0,0.0,6.0,0.0,14.0,74.0
Romania,3.0,1.0,0.0,11.0,3.0,2.0,14.0,0.0,0.0,3.0,7.0,2.0,1.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,12.0,3.0,18.0,14.0,0.0,14.0,1.0,23.0,1.0,0.0,1.0,0.0,62.0,0.0,0.0,3.0,0.0,5.0,1.0,2.0,1.0,14.0,0.0,0.0,3.0,38.0,42.0,15.0,8.0,4.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,16.0,20.0,2.0,0.0,32.0,0.0,0.0,9.0,1.0,31.0,153.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,6.0,0.0,5.0,29.0,4.0,0.0,0.0,0.0,19.0,3.0,0.0,9.0,43.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,12.0,0.0,5.0,0.0,0.0,27.0,0.0,0.0,44.0,0.0,13.0,48.0,0.0,36.0,0.0,0.0,38.0
Argentina,0.0,4.0,1.0,11.0,1.0,42.0,71.0,0.0,0.0,36.0,8.0,14.0,5.0,10.0,1.0,9.0,0.0,0.0,1.0,0.0,20.0,3.0,106.0,7.0,1.0,35.0,9.0,6.0,0.0,0.0,1.0,5.0,57.0,0.0,0.0,1.0,0.0,24.0,12.0,1.0,2.0,1.0,47.0,0.0,34.0,62.0,54.0,0.0,16.0,0.0,1.0,0.0,81.0,0.0,0.0,0.0,2.0,4.0,249.0,7.0,0.0,0.0,0.0,0.0,2.0,48.0,0.0,108.0,12.0,1.0,0.0,0.0,18.0,3.0,0.0,1.0,3.0,15.0,14.0,0.0,21.0,14.0,2.0,0.0,27.0,21.0,2.0,122.0,24.0,0.0,2.0,0.0,0.0,7.0,0.0,2.0,0.0,94.0,47.0,0.0,4.0,5.0,0.0,43.0,8.0,1.0,62.0,0.0,11.0,13.0,0.0,0.0,0.0,15.0,96.0
South Africa,0.0,7.0,2.0,4.0,3.0,0.0,4.0,0.0,1.0,2.0,0.0,2.0,1.0,15.0,2.0,43.0,2.0,0.0,0.0,0.0,11.0,1.0,8.0,0.0,1.0,106.0,1.0,12.0,1.0,0.0,2.0,0.0,11.0,0.0,0.0,1.0,1.0,26.0,3.0,0.0,5.0,1.0,1.0,0.0,8.0,17.0,24.0,2.0,10.0,0.0,1.0,0.0,50.0,0.0,1.0,0.0,8.0,2.0,5.0,0.0,3.0,0.0,2.0,0.0,0.0,63.0,1.0,21.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0,11.0,0.0,7.0,3.0,0.0,0.0,6.0,0.0,107.0,35.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,2.0,0.0,34.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,145.0,0.0,19.0,3.0,0.0,7.0,0.0,8.0,8.0
Kenya,0.0,29.0,10.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,4.0,4.0,84.0,19.0,49.0,0.0,0.0,0.0,1.0,4.0,1.0,16.0,0.0,0.0,175.0,0.0,20.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,10.0,4.0,29.0,6.0,9.0,7.0,0.0,0.0,0.0,8.0,24.0,5.0,0.0,10.0,2.0,2.0,0.0,9.0,0.0,0.0,1.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,5.0,26.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,22.0,0.0,8.0,0.0,0.0,0.0,10.0,1.0,1.0,31.0,7.0,0.0,0.0,8.0,0.0,1.0,8.0,1.0,0.0,4.0,3.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,25.0,0.0,31.0,2.0,10.0,1.0,0.0,16.0,14.0
Rwanda,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,884.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,3.0,11.0,16.0,1.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,3.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,7.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,2.0,13.0,0.0,0.0,0.0,4.0,13.0
Thailand,0.0,2.0,4.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,44.0,3.0,25.0,0.0,32.0,0.0,3.0,0.0,1.0,11.0,2.0,195.0,6.0,0.0,74.0,8.0,20.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,8.0,0.0,23.0,2.0,9.0,4.0,1.0,0.0,0.0,32.0,7.0,13.0,0.0,26.0,1.0,0.0,0.0,52.0,3.0,0.0,0.0,0.0,1.0,4.0,10.0,0.0,0.0,6.0,0.0,1.0,70.0,0.0,46.0,4.0,8.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,2.0,6.0,0.0,18.0,1.0,1.0,0.0,7.0,3.0,1.0,19.0,5.0,0.0,2.0,9.0,0.0,9.0,2.0,0.0,2.0,9.0,16.0,0.0,5.0,6.0,0.0,3.0,4.0,0.0,34.0,0.0,46.0,0.0,0.0,2.0,0.0,45.0,52.0
Uganda,0.0,3.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,36.0,7.0,50.0,3.0,1.0,0.0,0.0,6.0,2.0,3.0,0.0,1.0,1823.0,0.0,19.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,5.0,11.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,39.0,23.0,0.0,2.0,0.0,1.0,0.0,95.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,141.0,11.0,55.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,3.0,4.0,37.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,0.0,10.0,20.0,0.0,1.0,6.0,0.0,1.0,4.0,1.0,0.0,28.0,3.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,15.0,0.0,54.0,22.0,2.0,10.0,0.0,11.0,77.0
Kyrgyzstan,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0
Turkey,0.0,23.0,1.0,5.0,2.0,1.0,13.0,0.0,1.0,0.0,22.0,1.0,3.0,17.0,1.0,87.0,10.0,3.0,4.0,0.0,26.0,7.0,6.0,136.0,0.0,39.0,27.0,13.0,3.0,0.0,6.0,0.0,22.0,2.0,0.0,0.0,0.0,270.0,25.0,0.0,3.0,0.0,31.0,0.0,53.0,111.0,68.0,11.0,30.0,1.0,2.0,0.0,73.0,0.0,1.0,0.0,3.0,4.0,31.0,6.0,0.0,0.0,9.0,0.0,5.0,49.0,0.0,139.0,23.0,21.0,0.0,0.0,1.0,1.0,0.0,30.0,0.0,19.0,23.0,0.0,266.0,73.0,0.0,0.0,27.0,9.0,18.0,48.0,31.0,0.0,51.0,7.0,0.0,5.0,1.0,9.0,0.0,5.0,7.0,1.0,36.0,12.0,0.0,0.0,0.0,10.0,169.0,0.0,14.0,51.0,7.0,96.0,1.0,7.0,18.0
Mali,0.0,1.0,0.0,0.0,3.0,1.0,10.0,0.0,1.0,0.0,2.0,2.0,2.0,11.0,1.0,38.0,0.0,1.0,0.0,1.0,2.0,6.0,7.0,71.0,2.0,72.0,1.0,6.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,6.0,0.0,12.0,5.0,2.0,1.0,13.0,1.0,0.0,4.0,8.0,9.0,0.0,11.0,1.0,0.0,1.0,8.0,0.0,1.0,1.0,5.0,2.0,7.0,7.0,0.0,0.0,15.0,0.0,0.0,101.0,0.0,95.0,17.0,0.0,0.0,0.0,1.0,0.0,16.0,1.0,8.0,3.0,5.0,0.0,2.0,2.0,1.0,0.0,5.0,2.0,4.0,7.0,10.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,1.0,5.0,3.0,1.0,0.0,31.0,0.0,18.0,13.0,4.0,2.0,0.0,13.0,3.0
"Tanzania, United Republic of",0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,15.0,8.0,22.0,0.0,2.0,0.0,0.0,0.0,0.0,68.0,4.0,1.0,322.0,0.0,11.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,2.0,6.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,13.0,3.0,0.0,3.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,2.0,105.0,3.0,13.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,7.0,0.0,5.0,1.0,0.0,0.0,2.0,11.0,1.0,7.0,0.0,0.0,0.0,6.0,0.0,9.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,12.0,0.0,20.0,4.0,1.0,0.0,0.0,7.0,10.0
"Korea, Republic of",0.0,2.0,0.0,27.0,0.0,6.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,19.0,0.0,6.0,0.0,0.0,44.0,2.0,5.0,3.0,0.0,26.0,0.0,5.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,1.0,5.0,0.0,5.0,5.0,10.0,1.0,7.0,2.0,0.0,0.0,53.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,0.0,8.0,0.0,4.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,35.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
Kazakhstan,0.0,31.0,0.0,2.0,1.0,2.0,6.0,0.0,1.0,1.0,12.0,2.0,6.0,2.0,1.0,37.0,3.0,3.0,0.0,0.0,1.0,0.0,7.0,9.0,0.0,15.0,2.0,1.0,3.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,12.0,11.0,4.0,0.0,6.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,66.0,23.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,3.0,15.0,0.0,10.0,6.0,0.0,1.0,1.0,0.0,1.0,6.0,0.0,0.0,7.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,2.0,5.0,0.0,0.0,0.0,10.0,4.0
Yemen,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,775.0,0.0,17.0,1.0,3.0,0.0,0.0,0.0,0.0,10.0,167.0,0.0,67.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,9.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,21.0,0.0,86.0,1.0,5.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,0.0,10.0,0.0,38.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0
Nigeria,0.0,2.0,2.0,18.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,12.0,135.0,0.0,119.0,0.0,13.0,0.0,1.0,30.0,3.0,5.0,9.0,5.0,255.0,1.0,43.0,1.0,0.0,1.0,2.0,11.0,1.0,0.0,9.0,0.0,56.0,17.0,0.0,10.0,1.0,24.0,0.0,34.0,100.0,53.0,3.0,21.0,3.0,7.0,0.0,44.0,0.0,0.0,121.0,2.0,1.0,59.0,0.0,5.0,1.0,0.0,0.0,14.0,328.0,3.0,177.0,47.0,2.0,0.0,0.0,1.0,3.0,20.0,2.0,2.0,4.0,340.0,0.0,8.0,12.0,0.0,0.0,6.0,8.0,237.0,61.0,12.0,0.0,0.0,12.0,0.0,4.0,1.0,8.0,0.0,10.0,19.0,1.0,8.0,1.0,7.0,1.0,11.0,1.0,83.0,0.0,120.0,40.0,0.0,2.0,1.0,159.0,22.0
Hungary,0.0,31.0,0.0,16.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,2.0,9.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,7.0,0.0,18.0,1.0,6.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,25.0,57.0,22.0,2.0,18.0,1.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,26.0,2.0,4.0,0.0,0.0,10.0,0.0,0.0,8.0,0.0,48.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,16.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,8.0,0.0,4.0,0.0,2.0,48.0,0.0,3.0,76.0
Namibia,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,26.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0
Angola,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,11.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,18.0,1.0,1.0,134.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,10.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,19.0,0.0,0.0,3.0,1.0,1.0,1.0,39.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,172.0,10.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,76.0,0.0,19.0,0.0,0.0,0.0,5.0,1.0,2.0,32.0,1.0,0.0,4.0,12.0,0.0,2.0,2.0,0.0,0.0,25.0,0.0,0.0,9.0,2.0,2.0,0.0,0.0,1.0,63.0,0.0,34.0,2.0,0.0,0.0,2.0,8.0,26.0
Iraq,0.0,3.0,0.0,32.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,10.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,174.0,0.0,28.0,4.0,34.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,48.0,16.0,2.0,5.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,46.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,9.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,0.0,5.0,10.0,2.0,1.0,0.0,1.0,5.0
United Kingdom,0.0,20.0,4.0,17.0,6.0,26.0,5.0,1.0,51.0,7.0,44.0,36.0,116.0,46.0,10.0,435.0,1.0,14.0,41.0,26.0,366.0,42.0,55.0,25.0,3.0,340.0,4.0,240.0,9.0,0.0,55.0,99.0,245.0,3.0,0.0,58.0,2.0,408.0,52.0,4.0,180.0,34.0,17.0,0.0,51.0,180.0,480.0,5.0,181.0,45.0,9.0,0.0,614.0,4.0,0.0,0.0,73.0,14.0,49.0,17.0,51.0,0.0,190.0,2.0,15.0,189.0,3.0,570.0,169.0,14.0,0.0,0.0,53.0,24.0,7.0,20.0,55.0,44.0,106.0,2.0,55.0,46.0,5.0,2.0,44.0,123.0,33.0,256.0,184.0,7.0,13.0,9.0,3.0,11.0,18.0,52.0,1.0,74.0,93.0,124.0,22.0,30.0,2.0,14.0,22.0,2.0,145.0,0.0,169.0,37.0,2.0,40.0,0.0,37.0,151.0
Belarus,0.0,17.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,1.0,2.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,13.0,9.0,1.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,5.0,0.0,54.0,1.0,3.0,0.0,0.0,1.0,5.0,0.0,3.0,1.0,0.0,8.0,0.0,28.0,0.0,0.0,0.0,4.0,7.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,34.0,1.0,3.0,13.0,0.0,1.0,0.0,8.0,5.0
Finland,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,15.0,3.0,0.0,10.0,0.0,3.0,0.0,1.0,4.0,1.0,1.0,2.0,0.0,16.0,8.0,14.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,5.0,3.0,0.0,8.0,1.0,0.0,0.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,35.0,5.0,2.0,0.0,0.0,12.0,1.0,0.0,0.0,4.0,0.0,22.0,0.0,4.0,9.0,0.0,0.0,4.0,1.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0
