,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Armenia,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,91.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,0.0,5.0,0.0,15.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,694.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,18.0,0.0,8.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,14.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"Tanzania, United Republic of",0.0,2.0,2.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,7.0,2.0,0.0,61.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,13.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,3.0,96.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,9.0,4.0,0.0,0.0,4.0,0.0,10.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,8.0,0.0,13.0,4.0,0.0,0.0,1.0,8.0,10.0
Malawi,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,6.0,1.0,135.0,0.0,2.0,1.0,1.0,4.0,0.0,0.0,9.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,1.0,4.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,242.0,0.0,3.0,0.0,0.0,0.0,7.0,2.0,0.0,6.0,1.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0
Morocco,0.0,1.0,0.0,14.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,31.0,0.0,1275.0,0.0,0.0,3.0,0.0,0.0,49.0,0.0,11.0,0.0,18.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,23.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,1.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,48.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,2.0
Mali,0.0,0.0,1.0,14.0,1.0,1.0,4.0,0.0,2.0,0.0,19.0,1.0,0.0,6.0,0.0,3.0,1.0,269.0,0.0,0.0,5.0,1.0,2.0,27.0,9.0,46.0,1.0,2.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,11.0,0.0,10.0,4.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,8.0,2.0,1.0,0.0,17.0,0.0,0.0,9.0,0.0,2.0,7.0,1.0,1.0,0.0,11.0,0.0,4.0,54.0,1.0,40.0,3.0,1.0,0.0,0.0,1.0,7.0,4.0,0.0,4.0,2.0,11.0,0.0,2.0,3.0,0.0,0.0,4.0,1.0,7.0,3.0,6.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,2.0,20.0,2.0,0.0,1.0,13.0,0.0,1.0,3.0,3.0,0.0,0.0,3.0,6.0
Sri Lanka,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,321.0,0.0,0.0,0.0,1.0,48.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,3.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0,10.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Ecuador,0.0,0.0,1.0,10.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,1.0,8.0,0.0,457.0,0.0,0.0,0.0,0.0,37.0,2.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,10.0,4.0,0.0,4.0,6.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,1.0,12.0,1.0,0.0,1.0,1.0,0.0,4.0,11.0,0.0,25.0,0.0,14.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,12.0,1.0,0.0,0.0,1.0,3.0,0.0,12.0,2.0,2.0,14.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,11.0
Ghana,0.0,0.0,2.0,50.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,4.0,1.0,3.0,0.0,144.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,40.0,0.0,3.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,9.0,0.0,5.0,3.0,0.0,4.0,0.0,1.0,0.0,1.0,19.0,4.0,0.0,2.0,1.0,9.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,70.0,8.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,16.0,0.0,0.0,1.0,10.0,0.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,11.0,0.0,24.0,2.0,0.0,0.0,0.0,73.0,5.0
Pakistan,0.0,0.0,1.0,7.0,2.0,0.0,1.0,0.0,2.0,1.0,4.0,22.0,2.0,21.0,0.0,9.0,1.0,364.0,0.0,0.0,9.0,0.0,228.0,2.0,1.0,95.0,6.0,15.0,3.0,0.0,0.0,0.0,10.0,1.0,0.0,5.0,1.0,9.0,5.0,0.0,1.0,2.0,0.0,0.0,9.0,30.0,23.0,0.0,4.0,5.0,1.0,1.0,34.0,0.0,0.0,0.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,1.0,47.0,4.0,0.0,1.0,0.0,0.0,5.0,6.0,1.0,4.0,8.0,420.0,0.0,8.0,2.0,2.0,0.0,4.0,90.0,2.0,9.0,10.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,0.0,9.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,36.0,6.0,2.0,4.0,0.0,22.0,35.0
Israel,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,1.0,1.0,0.0,20.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sao Tome and Principe,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Tunisia,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,283.0,0.0,5.0,1.0,0.0,0.0,41.0,0.0,4.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,14.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0
Colombia,0.0,0.0,1.0,14.0,0.0,3.0,42.0,0.0,2.0,35.0,6.0,12.0,1.0,5.0,0.0,11.0,0.0,873.0,0.0,0.0,102.0,6.0,112.0,13.0,0.0,24.0,0.0,6.0,5.0,0.0,3.0,19.0,9.0,1.0,0.0,4.0,2.0,10.0,5.0,1.0,5.0,8.0,0.0,0.0,10.0,21.0,8.0,1.0,10.0,3.0,1.0,1.0,12.0,0.0,0.0,1.0,0.0,11.0,11.0,0.0,1.0,0.0,3.0,0.0,4.0,17.0,2.0,62.0,12.0,0.0,0.0,0.0,1.0,2.0,8.0,14.0,2.0,12.0,11.0,0.0,23.0,17.0,2.0,0.0,9.0,32.0,1.0,25.0,7.0,0.0,2.0,4.0,0.0,4.0,0.0,54.0,2.0,14.0,9.0,1.0,1.0,3.0,2.0,0.0,2.0,1.0,18.0,0.0,5.0,1.0,1.0,0.0,0.0,13.0,93.0
Slovakia,0.0,0.0,2.0,29.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,622.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,0.0,0.0,2.0,103.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,58.0,0.0,986.0,1.0,0.0,4.0,1.0,88.0,1.0,0.0,44.0,0.0,572.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,14.0,2.0,1.0,0.0,1.0,2.0,0.0,3.0,14.0,7.0,0.0,2.0,2.0,7.0,0.0,89.0,5.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,51.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,17.0,15.0,14.0,1.0,24.0,2.0,1.0,0.0,10.0,6.0,4.0,9.0,1.0,21.0,0.0,23.0,0.0,0.0,3.0,2.0,1.0,9.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,11.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,8.0
Honduras,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,238.0,0.0,0.0,0.0,1.0,80.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,1.0,0.0,15.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,6.0
Luxembourg,0.0,0.0,2.0,28.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,212.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Yemen,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,35.0,0.0,3.0,0.0,90.0,0.0,0.0,0.0,1.0,9.0,198.0,0.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,19.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,5.0,1.0,3.0,1.0,0.0,1.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,7.0
Denmark,0.0,0.0,0.0,198.0,1.0,1.0,4.0,0.0,13.0,0.0,0.0,0.0,16.0,4.0,0.0,35.0,0.0,1107.0,0.0,0.0,1.0,14.0,3.0,0.0,0.0,27.0,0.0,36.0,3.0,0.0,6.0,0.0,39.0,1.0,0.0,0.0,1.0,6.0,3.0,5.0,8.0,2.0,0.0,0.0,1.0,5.0,6.0,0.0,6.0,1.0,0.0,0.0,183.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,14.0,17.0,0.0,77.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,9.0,3.0,7.0,7.0,0.0,13.0,40.0,1.0,0.0,5.0,2.0,10.0,2.0,34.0,0.0,1.0,0.0,1.0,8.0,1.0,15.0,0.0,43.0,24.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,46.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,20.0
Belize,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
Peru,0.0,0.0,0.0,42.0,0.0,1.0,6.0,0.0,1.0,2.0,3.0,5.0,4.0,3.0,0.0,50.0,0.0,1793.0,0.0,0.0,2.0,3.0,145.0,16.0,0.0,15.0,1.0,8.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,5.0,2.0,0.0,19.0,35.0,1.0,9.0,14.0,6.0,2.0,0.0,41.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,5.0,17.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,4.0,6.0,0.0,29.0,1.0,1.0,0.0,34.0,6.0,5.0,41.0,19.0,0.0,5.0,0.0,0.0,1.0,0.0,10.0,0.0,23.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,23.0,0.0,5.0,2.0,0.0,0.0,0.0,8.0,39.0
"Taiwan, Province of China",0.0,0.0,0.0,42.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,8.0,0.0,262.0,1.0,1.0,2.0,0.0,9.0,1.0,0.0,13.0,0.0,6.0,9.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,39.0,3.0,0.0,1.0,0.0,10.0,0.0,5.0,14.0,17.0,2.0,11.0,1.0,0.0,0.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.0,4.0,2.0,9.0,0.0,0.0,0.0,0.0,6.0,20.0,1.0,2.0,4.0,58.0,0.0,1.0,1.0,2.0,3.0,0.0,2.0,2.0,13.0,1.0,5.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,13.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,7.0
Côte d'Ivoire,0.0,0.0,0.0,26.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,2.0,0.0,147.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,68.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,3.0,0.0,8.0,8.0
Hong Kong,0.0,0.0,0.0,224.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,61.0,0.0,1548.0,1.0,0.0,44.0,0.0,7.0,4.0,0.0,30.0,0.0,110.0,3.0,0.0,18.0,0.0,26.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,4.0,2.0,27.0,6.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,54.0,27.0,1.0,40.0,0.0,0.0,0.0,0.0,3.0,157.0,0.0,0.0,2.0,300.0,1.0,0.0,2.0,18.0,1.0,0.0,4.0,1.0,48.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,111.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,9.0,1.0,1.0,0.0,6.0,13.0
Saudi Arabia,0.0,0.0,0.0,19.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,17.0,2.0,3.0,0.0,629.0,1.0,1.0,11.0,2.0,5.0,201.0,0.0,4.0,3.0,164.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,61.0,6.0,0.0,7.0,0.0,4.0,0.0,2.0,7.0,5.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,2.0,1.0,40.0,8.0,0.0,20.0,4.0,5.0,0.0,0.0,0.0,18.0,0.0,0.0,5.0,0.0,18.0,0.0,3.0,0.0,3.0,0.0,1.0,16.0,6.0,8.0,4.0,0.0,0.0,3.0,0.0,1.0,1.0,14.0,0.0,4.0,22.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,10.0,0.0,3.0,7.0,3.0,0.0,0.0,18.0,1.0
Burkina Faso,0.0,0.0,0.0,80.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,4.0,0.0,79.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,1.0,0.0,1.0,2.0,4.0,3.0
Lebanon,0.0,0.0,0.0,36.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,281.0,0.0,0.0,1.0,0.0,0.0,356.0,0.0,6.0,0.0,16.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,34.0,3.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,43.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0
