,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Jersey,0.0,2.0,2.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,280.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,12.0,0.0,7.0,8.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,11.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,8.0,0.0,5.0,1.0,0.0,0.0,33.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,4.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0
Anguilla,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Pakistan,0.0,1.0,0.0,7.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,5.0,0.0,51.0,0.0,46.0,10.0,832.0,0.0,0.0,9.0,1.0,170.0,34.0,0.0,61.0,0.0,20.0,3.0,0.0,3.0,0.0,17.0,1.0,0.0,2.0,0.0,24.0,1.0,0.0,0.0,12.0,5.0,0.0,25.0,97.0,66.0,4.0,10.0,5.0,1.0,0.0,55.0,0.0,0.0,0.0,1.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,0.0,127.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,4.0,12.0,482.0,0.0,38.0,3.0,1.0,0.0,8.0,5.0,11.0,6.0,12.0,0.0,0.0,0.0,0.0,5.0,5.0,22.0,0.0,40.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,0.0,91.0,29.0,4.0,1.0,0.0,25.0,10.0
Azerbaijan,0.0,2.0,0.0,21.0,0.0,2.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,9.0,0.0,518.0,0.0,0.0,12.0,2.0,0.0,4.0,0.0,11.0,0.0,8.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,8.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,7.0,9.0,0.0,4.0,1.0,1.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,8.0,0.0,0.0,6.0,3.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0
Eritrea,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,3.0,0.0,42.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0
Philippines,0.0,0.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,22.0,1.0,471.0,0.0,3781.0,0.0,0.0,22.0,0.0,249.0,2.0,1.0,43.0,2.0,1092.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,0.0,19.0,5.0,0.0,2.0,0.0,0.0,1.0,5.0,17.0,21.0,0.0,6.0,3.0,2.0,0.0,91.0,2.0,1.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,18.0,31.0,1.0,91.0,2.0,0.0,0.0,0.0,2.0,5.0,13.0,0.0,2.0,46.0,118.0,0.0,20.0,2.0,0.0,0.0,9.0,6.0,37.0,14.0,8.0,22.0,0.0,37.0,0.0,0.0,0.0,14.0,3.0,28.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,38.0,2.0,0.0,0.0,0.0,11.0,25.0
Thailand,0.0,0.0,2.0,25.0,2.0,2.0,5.0,0.0,1.0,0.0,3.0,7.0,1.0,3.0,1.0,61.0,0.0,987.0,0.0,0.0,47.0,9.0,52.0,5.0,0.0,77.0,1.0,49.0,3.0,0.0,1.0,0.0,14.0,0.0,0.0,1.0,2.0,57.0,1.0,0.0,5.0,5.0,0.0,2.0,13.0,25.0,26.0,8.0,13.0,7.0,3.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,15.0,0.0,98.0,22.0,5.0,44.0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,7.0,66.0,5.0,2.0,15.0,7.0,1.0,0.0,9.0,1.0,28.0,7.0,12.0,1.0,0.0,3.0,0.0,15.0,10.0,5.0,0.0,21.0,10.0,2.0,8.0,3.0,0.0,1.0,1.0,3.0,169.0,0.0,9.0,2.0,0.0,6.0,0.0,10.0,26.0
Ethiopia,0.0,0.0,4.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,39.0,0.0,7.0,0.0,216.0,0.0,0.0,9.0,5.0,3.0,7.0,1.0,36.0,0.0,5.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,7.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,4.0,3.0,17.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,54.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,3.0,4.0,20.0,24.0,4.0,0.0,1.0,0.0,8.0,1.0,0.0,5.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,5.0,10.0,0.0,2.0,5.0,1.0,0.0,0.0,12.0,3.0
Barbados,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,81.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0
Hungary,0.0,0.0,1.0,80.0,4.0,16.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,17.0,0.0,651.0,0.0,0.0,15.0,5.0,3.0,19.0,0.0,26.0,1.0,4.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0,0.0,3.0,0.0,7.0,21.0,14.0,0.0,19.0,4.0,1.0,0.0,80.0,0.0,0.0,0.0,3.0,0.0,8.0,1.0,0.0,0.0,7.0,0.0,20.0,7.0,0.0,56.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,5.0,2.0,3.0,0.0,4.0,2.0,1.0,0.0,2.0,1.0,18.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,7.0,0.0,19.0,4.0,0.0,4.0,7.0,1.0,2.0,0.0,0.0,16.0,0.0,5.0,0.0,0.0,15.0,1.0,3.0,27.0
Guinea,0.0,0.0,2.0,8.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,13.0,2.0,22.0,0.0,176.0,0.0,1.0,1.0,2.0,2.0,3.0,57.0,1199.0,2.0,22.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,12.0,161.0,6.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,20.0,1.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,9.0,108.0,454.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,15.0,0.0,0.0,1.0,14.0,0.0,1.0,0.0,1.0,1.0,4.0,4.0,0.0,15.0,0.0,2.0,8.0,7.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,16.0,0.0,94.0,2.0,1.0,2.0,2.0,17.0,3.0
Haiti,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,246.0,0.0,6.0,0.0,284.0,0.0,0.0,3.0,1.0,0.0,80.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,20.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,5.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,16.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,3.0
Denmark,0.0,0.0,1.0,50.0,0.0,4.0,0.0,0.0,22.0,0.0,2.0,3.0,10.0,4.0,0.0,35.0,0.0,844.0,0.0,0.0,14.0,5.0,3.0,3.0,0.0,21.0,4.0,15.0,4.0,0.0,3.0,0.0,16.0,0.0,0.0,0.0,0.0,9.0,6.0,2.0,2.0,2.0,0.0,0.0,1.0,8.0,11.0,0.0,13.0,3.0,0.0,0.0,55.0,0.0,0.0,1.0,11.0,0.0,6.0,4.0,0.0,0.0,9.0,0.0,11.0,11.0,0.0,23.0,10.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,6.0,4.0,0.0,5.0,47.0,0.0,0.0,8.0,7.0,14.0,1.0,84.0,0.0,0.0,0.0,0.0,9.0,0.0,15.0,0.0,10.0,5.0,0.0,1.0,2.0,0.0,4.0,1.0,2.0,14.0,0.0,3.0,1.0,1.0,0.0,0.0,8.0,13.0
Austria,0.0,0.0,2.0,17.0,5.0,4.0,8.0,0.0,7.0,1.0,5.0,6.0,7.0,2.0,0.0,17.0,0.0,924.0,0.0,0.0,24.0,20.0,4.0,13.0,0.0,49.0,4.0,10.0,1.0,0.0,3.0,3.0,30.0,0.0,0.0,0.0,0.0,8.0,5.0,3.0,1.0,7.0,2.0,0.0,16.0,58.0,33.0,0.0,31.0,10.0,0.0,0.0,142.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,13.0,0.0,17.0,13.0,6.0,83.0,12.0,1.0,0.0,1.0,0.0,4.0,0.0,3.0,29.0,12.0,22.0,0.0,14.0,4.0,6.0,0.0,3.0,23.0,12.0,16.0,43.0,1.0,1.0,0.0,0.0,2.0,3.0,14.0,0.0,25.0,7.0,2.0,6.0,14.0,0.0,1.0,2.0,0.0,18.0,0.0,16.0,2.0,1.0,7.0,0.0,3.0,23.0
"Bolivia, Plurinational State of",0.0,0.0,1.0,1.0,2.0,1.0,13.0,0.0,0.0,7.0,1.0,6.0,3.0,3.0,0.0,3.0,0.0,869.0,0.0,0.0,2.0,1.0,28.0,0.0,1.0,33.0,1.0,32.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,8.0,5.0,0.0,5.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,1.0,0.0,3.0,17.0,0.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,0.0,42.0,3.0,1.0,0.0,7.0,3.0,5.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,23.0
"Korea, Democratic People's Republic of",0.0,0.0,1.0,19.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,276.0,0.0,0.0,14.0,0.0,3.0,8.0,0.0,12.0,0.0,24.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,13.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
Albania,0.0,0.0,1.0,143.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,66.0,0.0,2318.0,0.0,0.0,33.0,1.0,3.0,1.0,0.0,9.0,1.0,5.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,5.0,0.0,6.0,2.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,9.0,0.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,28.0,7.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0
Ireland,0.0,0.0,0.0,16.0,1.0,7.0,2.0,1.0,16.0,0.0,0.0,7.0,10.0,1.0,4.0,70.0,0.0,2518.0,0.0,6.0,32.0,9.0,2.0,1.0,0.0,65.0,5.0,27.0,7.0,0.0,0.0,1.0,65.0,3.0,0.0,0.0,0.0,24.0,13.0,9.0,19.0,6.0,1.0,1.0,20.0,23.0,32.0,3.0,40.0,9.0,0.0,0.0,273.0,0.0,0.0,0.0,2.0,0.0,14.0,1.0,3.0,0.0,10.0,5.0,19.0,19.0,1.0,41.0,19.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,7.0,9.0,21.0,0.0,6.0,14.0,0.0,0.0,11.0,4.0,27.0,43.0,61.0,3.0,1.0,0.0,1.0,6.0,0.0,11.0,0.0,72.0,75.0,13.0,1.0,9.0,0.0,5.0,6.0,0.0,16.0,0.0,21.0,7.0,0.0,4.0,0.0,10.0,35.0
Czechia,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,8.0,0.0,464.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,18.0,0.0,0.0,1.0,54.0,3.0,0.0,2.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,1.0,245.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,9.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,8.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,5.0,5.0,0.0,0.0,0.0,2.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0
Yemen,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,60.0,1.0,6.0,0.0,139.0,0.0,0.0,1.0,0.0,24.0,101.0,0.0,18.0,0.0,11.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,2.0,2.0,0.0,0.0,3.0,19.0,1.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,0.0,52.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,25.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,5.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,2.0,0.0,0.0,0.0,4.0,4.0
Mauritius,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,82.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Singapore,0.0,0.0,0.0,27.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,96.0,0.0,607.0,1.0,1.0,166.0,4.0,42.0,0.0,0.0,22.0,0.0,51.0,0.0,0.0,11.0,0.0,14.0,0.0,0.0,0.0,0.0,27.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,28.0,17.0,1.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,25.0,0.0,113.0,1.0,0.0,0.0,2.0,0.0,32.0,0.0,1.0,1.0,39.0,6.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,74.0,19.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,5.0,0.0,0.0,0.0,2.0,8.0
Cameroon,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,14.0,1.0,3.0,0.0,91.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,22.0,1.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,3.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,65.0,0.0,29.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,10.0,3.0,0.0,1.0,0.0,7.0,6.0
Serbia,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,11.0,0.0,573.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,15.0,0.0,17.0,2.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,16.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,11.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,26.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,47.0,0.0,0.0,6.0
Niger,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,227.0,0.0,5.0,0.0,65.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,24.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,5.0,44.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,12.0,5.0,0.0,0.0,0.0,7.0,5.0
Hong Kong,0.0,0.0,0.0,89.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,26.0,0.0,338.0,0.0,0.0,69.0,0.0,3.0,0.0,0.0,31.0,0.0,21.0,7.0,0.0,1.0,0.0,13.0,0.0,0.0,1.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,12.0,1.0,26.0,1.0,0.0,0.0,142.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,22.0,4.0,4.0,19.0,0.0,0.0,0.0,0.0,11.0,28.0,0.0,0.0,4.0,166.0,6.0,0.0,0.0,6.0,0.0,0.0,5.0,15.0,47.0,3.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,75.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,1.0,0.0,2.0,7.0
Switzerland,0.0,0.0,0.0,43.0,0.0,3.0,0.0,0.0,3.0,3.0,2.0,2.0,5.0,10.0,0.0,55.0,0.0,1136.0,0.0,0.0,109.0,3.0,14.0,36.0,5.0,111.0,2.0,47.0,0.0,0.0,0.0,2.0,40.0,0.0,0.0,4.0,0.0,15.0,6.0,1.0,0.0,9.0,11.0,6.0,1.0,30.0,46.0,10.0,45.0,41.0,0.0,0.0,130.0,0.0,1.0,1.0,4.0,2.0,6.0,3.0,1.0,0.0,10.0,0.0,24.0,71.0,14.0,119.0,19.0,1.0,1.0,0.0,5.0,7.0,6.0,0.0,3.0,22.0,18.0,0.0,6.0,17.0,0.0,0.0,14.0,4.0,36.0,13.0,27.0,0.0,0.0,7.0,0.0,3.0,3.0,4.0,0.0,22.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,27.0,0.0,4.0,5.0,2.0,3.0,0.0,30.0,29.0
Angola,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,20.0,0.0,14.0,0.0,478.0,0.0,0.0,66.0,0.0,27.0,0.0,0.0,37.0,0.0,2.0,13.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,7.0,6.0,8.0,0.0,4.0,0.0,1.0,0.0,0.0,14.0,7.0,0.0,7.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,4.0,0.0,14.0,180.0,10.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,17.0,0.0,7.0,1.0,1.0,0.0,3.0,0.0,11.0,2.0,3.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,9.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,70.0,0.0,11.0,0.0,0.0,0.0,0.0,22.0,11.0
